profile,gender,birthday,favorites_anime,link
dragonwarrior123,Female,15-Dec-95,"['8769', '5680', '10110', '16498', '20']",https://myanimelist.net/profile/dragonwarrior123
FenrirS,,,[],https://myanimelist.net/profile/FenrirS
Zogger568,Male,19-Feb-95,"['23289', '9617', '5680']",https://myanimelist.net/profile/Zogger568
gummyghost,Female,24-Oct-00,"['4087', '9756', '457', '20583']",https://myanimelist.net/profile/gummyghost
Taisho-san,Male,,"['34599', '10165', '5680', '17549', '2966', '16742', '10495', '33206']",https://myanimelist.net/profile/Taisho-san
omJIE,,,"['5680', '226', '1575', '6547', '8424']",https://myanimelist.net/profile/omJIE
ChanMidori,Female,,"['11759', '227']",https://myanimelist.net/profile/ChanMidori
shleepers,Female,20-Mar-96,[],https://myanimelist.net/profile/shleepers
JayJ017,Male,,"['19815', '7791', '28171', '31240']",https://myanimelist.net/profile/JayJ017
MaikeruN-San,Male,,"['5680', '32281', '22297', '15809', '5114']",https://myanimelist.net/profile/MaikeruN-San
Theonewhorules,Female,18-Aug-03,"['30', '28851', '11061', '5081', '9989', '6746', '27989', '9253']",https://myanimelist.net/profile/Theonewhorules
Itadakiimasu,Female,1-Jan-91,"['263', '11061', '1698', '37430', '5114']",https://myanimelist.net/profile/Itadakiimasu
Xavveina,Male,15-Apr-93,"['6512', '10790', '11499', '4224', '1195', '3467', '38000']",https://myanimelist.net/profile/Xavveina
Katie-Everly,Female,28-Jun-99,"['2251', '199', '19815']",https://myanimelist.net/profile/Katie-Everly
ssdcgaddq,Male,Jan-96,"['4181', '11741', '2924', '18245', '9756']",https://myanimelist.net/profile/ssdcgaddq
SimplyCosmo,Male,12-Jun-97,"['21', '32281', '13759', '23273', '28851', '9253', '12531', '4224', '6045', '5114']",https://myanimelist.net/profile/SimplyCosmo
asdfrq2dg,,,[],https://myanimelist.net/profile/asdfrq2dg
SoraKiryu,Female,11-Jul-96,"['5680', '9756', '1887', '3588', '2923']",https://myanimelist.net/profile/SoraKiryu
SolistraSora,,,[],https://myanimelist.net/profile/SolistraSora
bearvarine,Male,30-Jun-79,"['9919', '8769', '387', '9289', '31043']",https://myanimelist.net/profile/bearvarine
